Designator, Mid X, Mid Y, Layer, Rotation
LED205, 36.83, 69.85, 0.00, , LED_0805
LED206, 39.69, 69.85, 0.00, , LED_0805
LED207, 42.55, 69.85, 0.00, , LED_0805
LED208, 45.40, 69.85, 0.00, , LED_0805
LED209, 48.26, 69.85, 0.00, , LED_0805
LED21, 59.69, 96.52, 0.00, , LED_0805
LED210, 51.12, 69.85, 0.00, , LED_0805
LED211, 53.98, 69.85, 0.00, , LED_0805
LED212, 56.83, 69.85, 0.00, , LED_0805
LED213, 59.69, 69.85, 0.00, , LED_0805
LED214, 62.55, 69.85, 0.00, , LED_0805
LED215, 65.41, 69.85, 0.00, , LED_0805
LED216, 68.26, 69.85, 0.00, , LED_0805
LED217, 71.12, 69.85, 0.00, , LED_0805
LED218, 73.98, 69.85, 0.00, , LED_0805
LED219, 76.84, 69.85, 0.00, , LED_0805
LED22, 62.55, 96.52, 0.00, , LED_0805
LED220, 79.69, 69.85, 0.00, , LED_0805
LED221, 82.55, 69.85, 0.00, , LED_0805
LED222, 85.41, 69.85, 0.00, , LED_0805
LED223, 88.27, 69.85, 0.00, , LED_0805
LED224, 91.12, 69.85, 0.00, , LED_0805
LED225, 2.54, 65.41, 0.00, , LED_0805
LED226, 5.40, 65.41, 0.00, , LED_0805
LED227, 8.26, 65.41, 0.00, , LED_0805
LED228, 11.11, 65.41, 0.00, , LED_0805
LED229, 13.97, 65.41, 0.00, , LED_0805
LED23, 65.41, 96.52, 0.00, , LED_0805
LED230, 16.83, 65.41, 0.00, , LED_0805
LED231, 19.69, 65.41, 0.00, , LED_0805
LED232, 22.54, 65.41, 0.00, , LED_0805
LED233, 25.40, 65.41, 0.00, , LED_0805
LED234, 28.26, 65.41, 0.00, , LED_0805
LED235, 31.12, 65.41, 0.00, , LED_0805
LED236, 33.97, 65.41, 0.00, , LED_0805
LED237, 36.83, 65.41, 0.00, , LED_0805
LED238, 39.69, 65.41, 0.00, , LED_0805
LED239, 42.55, 65.41, 0.00, , LED_0805
LED24, 68.26, 96.52, 0.00, , LED_0805
LED240, 45.40, 65.41, 0.00, , LED_0805
LED241, 48.26, 65.41, 0.00, , LED_0805
LED242, 51.12, 65.41, 0.00, , LED_0805
LED243, 53.98, 65.41, 0.00, , LED_0805
LED244, 56.83, 65.41, 0.00, , LED_0805
LED245, 59.69, 65.41, 0.00, , LED_0805
LED246, 62.55, 65.41, 0.00, , LED_0805
LED247, 65.41, 65.41, 0.00, , LED_0805
LED248, 68.26, 65.41, 0.00, , LED_0805
LED249, 71.12, 65.41, 0.00, , LED_0805
LED25, 71.12, 96.52, 0.00, , LED_0805
LED250, 73.98, 65.41, 0.00, , LED_0805
LED251, 76.84, 65.41, 0.00, , LED_0805
LED252, 79.69, 65.41, 0.00, , LED_0805
LED253, 82.55, 65.41, 0.00, , LED_0805
LED254, 85.41, 65.41, 0.00, , LED_0805
LED255, 88.27, 65.41, 0.00, , LED_0805
LED256, 91.12, 65.41, 0.00, , LED_0805
LED257, 2.54, 60.96, 0.00, , LED_0805
LED258, 5.40, 60.96, 0.00, , LED_0805
LED259, 8.26, 60.96, 0.00, , LED_0805
LED26, 73.98, 96.52, 0.00, , LED_0805
LED260, 11.11, 60.96, 0.00, , LED_0805
LED261, 13.97, 60.96, 0.00, , LED_0805
LED262, 16.83, 60.96, 0.00, , LED_0805
LED263, 19.69, 60.96, 0.00, , LED_0805
LED264, 22.54, 60.96, 0.00, , LED_0805
LED265, 25.40, 60.96, 0.00, , LED_0805
LED266, 28.26, 60.96, 0.00, , LED_0805
LED267, 31.12, 60.96, 0.00, , LED_0805
LED268, 33.97, 60.96, 0.00, , LED_0805
LED269, 36.83, 60.96, 0.00, , LED_0805
LED27, 76.84, 96.52, 0.00, , LED_0805
LED270, 39.69, 60.96, 0.00, , LED_0805
LED271, 42.55, 60.96, 0.00, , LED_0805
LED272, 45.40, 60.96, 0.00, , LED_0805
LED273, 48.26, 60.96, 0.00, , LED_0805
LED274, 51.12, 60.96, 0.00, , LED_0805
LED275, 53.98, 60.96, 0.00, , LED_0805
LED276, 56.83, 60.96, 0.00, , LED_0805
LED277, 59.69, 60.96, 0.00, , LED_0805
LED278, 62.55, 60.96, 0.00, , LED_0805
LED279, 65.41, 60.96, 0.00, , LED_0805
LED28, 79.69, 96.52, 0.00, , LED_0805
LED280, 68.26, 60.96, 0.00, , LED_0805
LED281, 71.12, 60.96, 0.00, , LED_0805
LED282, 73.98, 60.96, 0.00, , LED_0805
LED283, 76.84, 60.96, 0.00, , LED_0805
LED284, 79.69, 60.96, 0.00, , LED_0805
LED285, 82.55, 60.96, 0.00, , LED_0805
LED286, 85.41, 60.96, 0.00, , LED_0805
LED287, 88.27, 60.96, 0.00, , LED_0805
LED288, 91.12, 60.96, 0.00, , LED_0805
LED289, 2.54, 56.52, 0.00, , LED_0805
LED29, 82.55, 96.52, 0.00, , LED_0805
LED290, 5.40, 56.52, 0.00, , LED_0805
LED291, 8.26, 56.52, 0.00, , LED_0805
LED292, 11.11, 56.52, 0.00, , LED_0805
LED293, 13.97, 56.52, 0.00, , LED_0805
LED294, 16.83, 56.52, 0.00, , LED_0805
LED295, 19.69, 56.52, 0.00, , LED_0805
LED296, 22.54, 56.52, 0.00, , LED_0805
LED297, 25.40, 56.52, 0.00, , LED_0805
LED298, 28.26, 56.52, 0.00, , LED_0805
LED299, 31.12, 56.52, 0.00, , LED_0805
LED3, 8.26, 96.52, 0.00, , LED_0805
LED30, 85.41, 96.52, 0.00, , LED_0805
LED300, 33.97, 56.52, 0.00, , LED_0805
LED301, 36.83, 56.52, 0.00, , LED_0805
LED302, 39.69, 56.52, 0.00, , LED_0805
LED303, 42.55, 56.52, 0.00, , LED_0805
LED304, 45.40, 56.52, 0.00, , LED_0805
LED305, 48.26, 56.52, 0.00, , LED_0805
LED306, 51.12, 56.52, 0.00, , LED_0805
LED307, 53.98, 56.52, 0.00, , LED_0805
LED308, 56.83, 56.52, 0.00, , LED_0805
LED309, 59.69, 56.52, 0.00, , LED_0805
LED31, 88.27, 96.52, 0.00, , LED_0805
LED310, 62.55, 56.52, 0.00, , LED_0805
LED311, 65.41, 56.52, 0.00, , LED_0805
LED312, 68.26, 56.52, 0.00, , LED_0805
LED313, 71.12, 56.52, 0.00, , LED_0805
LED314, 73.98, 56.52, 0.00, , LED_0805
LED315, 76.84, 56.52, 0.00, , LED_0805
LED316, 79.69, 56.52, 0.00, , LED_0805
LED317, 82.55, 56.52, 0.00, , LED_0805
LED318, 85.41, 56.52, 0.00, , LED_0805
LED319, 88.27, 56.52, 0.00, , LED_0805
LED32, 91.12, 96.52, 0.00, , LED_0805
LED320, 91.12, 56.52, 0.00, , LED_0805
LED321, 2.54, 52.07, 0.00, , LED_0805
LED322, 5.40, 52.07, 0.00, , LED_0805
LED323, 8.26, 52.07, 0.00, , LED_0805
LED324, 11.11, 52.07, 0.00, , LED_0805
LED325, 13.97, 52.07, 0.00, , LED_0805
LED326, 16.83, 52.07, 0.00, , LED_0805
LED327, 19.69, 52.07, 0.00, , LED_0805
LED328, 22.54, 52.07, 0.00, , LED_0805
LED329, 25.40, 52.07, 0.00, , LED_0805
LED33, 2.54, 92.08, 0.00, , LED_0805
LED330, 28.26, 52.07, 0.00, , LED_0805
LED331, 31.12, 52.07, 0.00, , LED_0805
LED332, 33.97, 52.07, 0.00, , LED_0805
LED333, 36.83, 52.07, 0.00, , LED_0805
LED334, 39.69, 52.07, 0.00, , LED_0805
LED335, 42.55, 52.07, 0.00, , LED_0805
LED336, 45.40, 52.07, 0.00, , LED_0805
LED337, 48.26, 52.07, 0.00, , LED_0805
LED338, 51.12, 52.07, 0.00, , LED_0805
LED339, 53.98, 52.07, 0.00, , LED_0805
LED34, 5.40, 92.08, 0.00, , LED_0805
LED340, 56.83, 52.07, 0.00, , LED_0805
LED341, 59.69, 52.07, 0.00, , LED_0805
LED342, 62.55, 52.07, 0.00, , LED_0805
LED343, 65.41, 52.07, 0.00, , LED_0805
LED344, 68.26, 52.07, 0.00, , LED_0805
LED345, 71.12, 52.07, 0.00, , LED_0805
LED346, 73.98, 52.07, 0.00, , LED_0805
LED347, 76.84, 52.07, 0.00, , LED_0805
LED348, 79.69, 52.07, 0.00, , LED_0805
LED349, 82.55, 52.07, 0.00, , LED_0805
LED35, 8.26, 92.08, 0.00, , LED_0805
LED350, 85.41, 52.07, 0.00, , LED_0805
LED351, 88.27, 52.07, 0.00, , LED_0805
LED352, 91.12, 52.07, 0.00, , LED_0805
LED353, 2.54, 47.63, 0.00, , LED_0805
LED354, 5.40, 47.63, 0.00, , LED_0805
LED355, 8.26, 47.63, 0.00, , LED_0805
LED356, 11.11, 47.63, 0.00, , LED_0805
LED357, 13.97, 47.63, 0.00, , LED_0805
LED358, 16.83, 47.63, 0.00, , LED_0805
LED359, 19.69, 47.63, 0.00, , LED_0805
LED36, 11.11, 92.08, 0.00, , LED_0805
LED360, 22.54, 47.63, 0.00, , LED_0805
LED361, 25.40, 47.63, 0.00, , LED_0805
LED362, 28.26, 47.63, 0.00, , LED_0805
LED363, 31.12, 47.63, 0.00, , LED_0805
LED364, 33.97, 47.63, 0.00, , LED_0805
LED365, 36.83, 47.63, 0.00, , LED_0805
LED366, 39.69, 47.63, 0.00, , LED_0805
LED367, 42.55, 47.63, 0.00, , LED_0805
LED368, 45.40, 47.63, 0.00, , LED_0805
LED369, 48.26, 47.63, 0.00, , LED_0805
LED37, 13.97, 92.08, 0.00, , LED_0805
LED370, 51.12, 47.63, 0.00, , LED_0805
LED371, 53.98, 47.63, 0.00, , LED_0805
LED372, 56.83, 47.63, 0.00, , LED_0805
LED373, 59.69, 47.63, 0.00, , LED_0805
LED374, 62.55, 47.63, 0.00, , LED_0805
LED375, 65.41, 47.63, 0.00, , LED_0805
LED376, 68.26, 47.63, 0.00, , LED_0805
